timesteps,average_episode_return
5.750000000000000000e+04,5.297598745468093284e+01
5.875000000000000000e+04,5.439501378640754581e+01
6.000000000000000000e+04,5.201642234813118648e+01
6.125000000000000000e+04,5.254164034832437835e+01
6.250000000000000000e+04,5.249039515799978517e+01
6.375000000000000000e+04,5.189516934227048495e+01
6.500000000000000000e+04,5.482005908077072576e+01
6.625000000000000000e+04,5.337668092901500927e+01
6.750000000000000000e+04,5.623109787953232086e+01
6.875000000000000000e+04,5.631655626783275181e+01
7.000000000000000000e+04,5.505773225947329053e+01
7.125000000000000000e+04,5.565951008816220025e+01
7.250000000000000000e+04,5.473781281510747476e+01
7.375000000000000000e+04,5.598893346698624640e+01
7.500000000000000000e+04,0.000000000000000000e+00
7.625000000000000000e+04,4.252843586849823332e+00
7.750000000000000000e+04,3.687896707366300930e+00
7.875000000000000000e+04,8.633406812757353777e+00
8.000000000000000000e+04,9.959072771796911638e+00
8.125000000000000000e+04,1.138176995046611495e+01
8.250000000000000000e+04,1.050629700900648267e+01
8.375000000000000000e+04,1.254999658408361896e+01
8.500000000000000000e+04,1.595046312208643435e+01
8.625000000000000000e+04,1.776888523922202623e+01
8.750000000000000000e+04,1.678064854941701256e+01
8.875000000000000000e+04,2.348184093517081550e+01
9.000000000000000000e+04,2.201550214366444891e+01
9.125000000000000000e+04,2.274401906664145656e+01
9.250000000000000000e+04,2.509825522192155844e+01
9.375000000000000000e+04,2.388406485634521559e+01
9.500000000000000000e+04,2.257165760532934584e+01
9.625000000000000000e+04,2.706632560513752139e+01
9.750000000000000000e+04,2.694235494569847944e+01
9.875000000000000000e+04,2.914709774941037779e+01
1.000000000000000000e+05,3.027515030182653888e+01
1.012500000000000000e+05,2.791311328458036911e+01
1.025000000000000000e+05,3.008550546425685468e+01
1.037500000000000000e+05,3.378998910440675729e+01
1.050000000000000000e+05,3.544948269265192664e+01
1.062500000000000000e+05,3.338257128003330365e+01
1.075000000000000000e+05,3.434461278406775619e+01
1.087500000000000000e+05,3.530706460890182541e+01
1.100000000000000000e+05,3.574677487721854874e+01
1.112500000000000000e+05,4.045713870215435293e+01
1.125000000000000000e+05,3.925775199980601116e+01
1.137500000000000000e+05,3.556616461967485776e+01
1.150000000000000000e+05,3.657141171609846708e+01
1.162500000000000000e+05,3.959576001566757952e+01
1.175000000000000000e+05,3.894319804715928512e+01
