evaluation_checkpoint,kl_with_cbp,kl_without_cbp,recon_with_cbp,recon_without_cbp,jq_with_cbp,jq_without_cbp,total_context_loss_with_cbp,total_context_loss_without_cbp
45,0.20683872624335417,0.2678270506786325,0.0829205766799185,0.20443264823678575,0.219521,0.667671,0.5092803029232726,1.1399306989154182
46,0.1799619167812746,0.25404977849854166,0.09427992226589407,0.20205520086371814,0.176288,0.687377,0.45052983904716865,1.1434819793622598
47,0.16637962937285303,0.26367534086281147,0.09132306461746044,0.18166272853990087,0.205428,0.654459,0.4631306939903135,1.0997970694027124
48,0.176104199619829,0.2602059973176195,0.10260632218399424,0.202737781298274,0.154817,0.63595,0.43352752180382325,1.0988937786158936
49,0.17194584902555685,0.24939652747146793,0.09562625257890026,0.20787084559432592,0.182244,0.646792,0.44981610160445714,1.1040593730657938
50,0.1822572811199325,0.2530315734431785,0.10311815867672494,0.174134191314932,0.22,0.48,0.5053754397966575,0.9071657647581104
51,0.1782917732718783,0.2679971825874946,0.10299598035035278,0.21392520187926362,0.158922,0.635655,0.4402097536222311,1.1175773844667582
52,0.16787237132203037,0.2892713843511433,0.09249441619063095,0.20906344502396718,0.159753,0.559856,0.42011978751266134,1.0581908293751104
53,0.16590812401688043,0.2764599448747802,0.09586171546367767,0.2117341616645476,0.170447,0.568237,0.4322168394805581,1.0564311065393278
54,0.16226778284420199,0.30785178289056414,0.09877637643225824,0.218067199966397,0.143645,0.557253,0.40468915927646023,1.083171982856961
55,0.1822656046235576,0.2747538193809289,0.0895971821188616,0.20267078992573503,0.157314,0.532904,0.4291767867424192,1.0103286093066638
56,0.1869344327884146,0.2954779566046994,0.12453702122243325,0.19283903600897515,0.166601,0.543983,0.47807245401084784,1.0322999926136745
57,0.15802559278863568,0.2853379441485417,0.10024387678899627,0.20259066892304492,0.141166,0.561732,0.39943546957763196,1.0496606130715867
58,0.16081397806481973,0.3023793874660401,0.08411329910822876,0.19377008011843871,0.146796,0.611846,0.3917232771730485,1.107995467584479
59,0.15317062177156013,0.29690898816572786,0.08096852643125471,0.19570256707586736,0.138602,0.568752,0.37274114820281486,1.0613635552415953
60,0.13719905001447105,0.288966386485272,0.0910304886734002,0.16331558545299008,0.143394,0.514281,0.37162353868787123,0.9665629719382621
61,0.1314035875012211,0.2687206839638872,0.08457713141758182,0.17760445243822254,0.161304,0.533704,0.37728471891880293,0.9800291364021097
62,0.12819463285181742,0.2701244549979948,0.0729086430642419,0.20289610468332386,0.121123,0.58934,0.32222627591605935,1.0623605596813186
63,0.10809905006728657,0.2699470027823221,0.06933057280792078,0.17617006140877864,0.095619,0.532761,0.27304862287520737,0.9788780641911007
64,0.11960513331720152,0.29191332351055105,0.08121602759645137,0.1782487950897793,0.136709,0.491169,0.3375301609136529,0.9613311186003303
